Gen	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143	t_n144	t_n145	t_n146	t_n147	t_n148	t_n149	t_n150	t_n151	t_n152	t_n153	t_n154	t_n155	t_n156	t_n157	t_n158	t_n159	t_n160	t_n161	t_n162	t_n163	t_n164	t_n165	t_n166	t_n167	t_n168	t_n169	t_n170	t_n171	t_n172	t_n173	t_n174	t_n175	t_n176	t_n177	t_n178	t_n179	t_n180	t_n181	t_n182	t_n183	t_n184	t_n185	t_n186	t_n187	t_n188	t_n189	t_n190	t_n191	t_n192	t_n193	t_n194	t_n195	t_n196	t_n197	t_n198	t_n199	mu	sigma2	lnL
135200	0.3532929	0.2917960	0.2284157	0.2055419	0.1666969	0.0415309	0.0574398	0.1839876	0.0577712	0.0358491	0.1723292	0.0441670	0.1523530	0.1175113	0.1095778	0.0962702	0.0583187	0.0380036	0.0785713	0.0685986	0.0409418	0.0527807	0.0359882	0.0258374	0.0588440	0.0373726	0.1732619	0.0584375	0.0518541	0.0336185	0.1835599	0.0298641	0.1679127	0.1191166	0.0423884	0.1266714	0.1109118	0.0953398	0.0802470	0.0072768	0.0692140	0.3395198	0.2927045	0.0875496	0.0395410	0.2731677	0.2377706	0.1822387	0.1248787	0.0856314	0.1776594	0.1559205	0.0793370	0.1287533	0.0436825	0.1133644	0.0413788	0.0318766	0.0806592	0.0535515	0.0653151	0.0404378	0.0994377	0.0222795	0.1793492	0.1589890	0.1158359	0.0856104	0.1304071	0.0782997	0.0353726	0.1101952	0.0984369	0.0546843	0.0387504	0.0870168	0.0800473	0.0542247	0.0423844	0.0695859	0.0416344	0.0467016	0.1678562	0.1356113	0.0968035	0.0661753	0.1452629	0.0977538	0.0718383	0.0455980	0.1174352	0.0955749	0.0396443	0.0718615	0.0465887	0.0521638	0.0431021	0.0323287	0.0223880	0.1570813	0.5155195	-95.014
135300	0.3881154	0.3176307	0.2572767	0.2422167	0.2163476	0.0660036	0.1475185	0.2166807	0.0871148	0.0517787	0.1942748	0.0552689	0.1659632	0.1363747	0.1246459	0.1139370	0.0796133	0.0564843	0.0885844	0.0786781	0.0568295	0.0544643	0.0312039	0.0212416	0.1092647	0.0637887	0.1482841	0.0746306	0.0613139	0.0440408	0.2152337	0.0348419	0.2006372	0.1402131	0.0409634	0.1511991	0.1307362	0.0744357	0.0736254	0.0184069	0.0783663	0.3791504	0.3360470	0.0936904	0.0362264	0.3170176	0.2793272	0.2127046	0.1422875	0.0778057	0.2055628	0.1696468	0.0650214	0.1434193	0.0626292	0.1201218	0.0564900	0.0376373	0.1056358	0.0557774	0.0803464	0.0538859	0.1341978	0.0325520	0.1990010	0.1774839	0.1361167	0.1039561	0.1566729	0.1010885	0.0345499	0.1366645	0.1030435	0.0704335	0.0334799	0.1044894	0.0919868	0.0639537	0.0432135	0.0712690	0.0378532	0.0868718	0.1869869	0.1638604	0.1111145	0.0650144	0.1656758	0.1302370	0.0997574	0.0583978	0.1321241	0.1106107	0.0336882	0.0906192	0.0422351	0.0635751	0.0510305	0.0351532	0.0267917	0.1256482	0.4449824	-107.932
135400	0.3638707	0.3025830	0.2395403	0.2220943	0.1924095	0.0575600	0.1453086	0.1986797	0.1310817	0.0376271	0.1824628	0.0387252	0.1456345	0.1323102	0.1106592	0.0993857	0.0711357	0.0388882	0.0768916	0.0681277	0.0478822	0.0563397	0.0367814	0.0239255	0.0712826	0.0473195	0.1189133	0.0696234	0.0569092	0.0393444	0.2111094	0.0408154	0.1905747	0.1192358	0.0251109	0.1481805	0.1077214	0.0797146	0.0600265	0.0409720	0.0827475	0.3486708	0.3081295	0.1090814	0.0350098	0.2906810	0.2420629	0.1960792	0.1160535	0.0575582	0.1884855	0.1602368	0.0575753	0.1343210	0.0375262	0.1110431	0.0557501	0.0425110	0.1008482	0.0761443	0.0709268	0.0544272	0.1030622	0.0372356	0.1965349	0.1627392	0.1307471	0.0792572	0.1470226	0.1213144	0.0327343	0.1316623	0.1025484	0.0691508	0.0414776	0.0983180	0.0818393	0.0615396	0.0415247	0.0646396	0.0499087	0.0748296	0.1906709	0.1324435	0.0867240	0.0408364	0.1502621	0.1178897	0.0576911	0.0372524	0.1128598	0.1009314	0.0403364	0.0787176	0.0515026	0.0581424	0.0495672	0.0369531	0.0278144	0.1354084	0.4202397	-99.626
135500	0.3559977	0.3084951	0.2335833	0.2165711	0.1899222	0.0518599	0.1472055	0.1937388	0.1205383	0.0658870	0.1715419	0.0486689	0.1495408	0.1311937	0.1120935	0.0846181	0.0632484	0.0357524	0.0705932	0.0562853	0.0351753	0.0459800	0.0318126	0.0211122	0.0831819	0.0488151	0.1413227	0.0998070	0.0640573	0.0457873	0.2052320	0.0358051	0.1853061	0.1254751	0.0327528	0.1248450	0.1044236	0.0546698	0.0563778	0.0371345	0.0685984	0.3431635	0.3070537	0.1058784	0.0555503	0.2799207	0.2452152	0.1912030	0.1200217	0.0717405	0.1837981	0.1551773	0.0846741	0.1309806	0.0537877	0.1142634	0.0706533	0.0230939	0.1009309	0.0606868	0.0582862	0.0334148	0.1174307	0.0679741	0.2016327	0.1645432	0.1045948	0.0665206	0.1415675	0.1203047	0.0313351	0.1314298	0.1051784	0.0828993	0.0491745	0.0893680	0.0740926	0.0581472	0.0301003	0.0596901	0.0302466	0.0532794	0.1802496	0.1485753	0.0945458	0.0232338	0.1534589	0.1111186	0.0428149	0.0265939	0.1075332	0.0980525	0.0368725	0.0762056	0.0363523	0.0553218	0.0489682	0.0368825	0.0178123	0.1469715	0.4298035	-99.481
135600	0.3787500	0.3296804	0.2437389	0.2311067	0.1845926	0.0538635	0.1072016	0.2020861	0.0991858	0.0713732	0.1768612	0.0411436	0.1565497	0.1397587	0.1226750	0.0881492	0.0621406	0.0390581	0.0725557	0.0590359	0.0421596	0.0432227	0.0325734	0.0239104	0.0987985	0.0657124	0.1832202	0.1086681	0.0746683	0.0518850	0.2438314	0.0481706	0.1909700	0.1519866	0.0428736	0.1681500	0.1089335	0.0464751	0.0661440	0.0387976	0.0641595	0.3765733	0.3173127	0.1785930	0.0674358	0.2957241	0.2521096	0.2019976	0.1058075	0.0732839	0.1941747	0.1531214	0.0861924	0.1392225	0.0555987	0.1207143	0.0608922	0.0243025	0.1084825	0.0629551	0.0872867	0.0469291	0.1230533	0.0490374	0.2019872	0.1718318	0.1233753	0.0824393	0.1526547	0.1328197	0.0439841	0.1409641	0.1067009	0.0873088	0.0444964	0.0911549	0.0789254	0.0584429	0.0216307	0.0570847	0.0346375	0.0526851	0.1886158	0.1599837	0.0857251	0.0354299	0.1669159	0.0900347	0.0585330	0.0350566	0.1243038	0.1079783	0.0480446	0.0821264	0.0412094	0.0621845	0.0485198	0.0316554	0.0152511	0.1413170	0.5033730	-80.644
135700	0.3911893	0.3319188	0.2473845	0.2345633	0.1381107	0.0703800	0.0959255	0.2083883	0.1017724	0.0494856	0.1922361	0.0431426	0.1586208	0.1443249	0.1251049	0.0976481	0.0682642	0.0473549	0.0676550	0.0605084	0.0240710	0.0425227	0.0347712	0.0200844	0.1169779	0.0835594	0.1869313	0.1390567	0.0837019	0.0537379	0.2618059	0.0860995	0.2047440	0.1450075	0.0643513	0.1805096	0.1248250	0.0632084	0.1037633	0.0233157	0.0568539	0.3724386	0.3291394	0.1529188	0.0706302	0.2957840	0.2485829	0.2111261	0.1069585	0.0636306	0.1946059	0.1553397	0.0974035	0.1413049	0.0356522	0.1205432	0.0687387	0.0301497	0.1059249	0.0670394	0.0685614	0.0530215	0.0826479	0.0350082	0.2133806	0.1781306	0.1265307	0.0728396	0.1549379	0.1213425	0.0438764	0.1430725	0.1189954	0.0713499	0.0855668	0.1162486	0.0899957	0.0586277	0.0257632	0.0746221	0.0431331	0.0643053	0.1996742	0.1718334	0.0607287	0.0400867	0.1733275	0.1269031	0.0743057	0.0408015	0.1250109	0.1111495	0.0533933	0.0737719	0.0270276	0.0615683	0.0514198	0.0313623	0.0170265	0.1254833	0.4907470	-77.993
135800	0.3271036	0.2656127	0.2180098	0.2067110	0.1750356	0.0441541	0.0929307	0.1836440	0.0896402	0.0620010	0.1730605	0.0255238	0.1429418	0.1296387	0.1141507	0.0932977	0.0728226	0.0261677	0.0580269	0.0510289	0.0361642	0.0395565	0.0319994	0.0211822	0.1053591	0.0718680	0.1352703	0.0991150	0.0717008	0.0497479	0.2239272	0.0381343	0.1739499	0.1274741	0.0612684	0.1625319	0.1154313	0.0555681	0.0891404	0.0376445	0.0574476	0.3132386	0.2893752	0.1433935	0.1129559	0.2548677	0.2219796	0.1893929	0.0967750	0.0603793	0.1636657	0.1351049	0.1070550	0.1236846	0.0305215	0.1027266	0.0793506	0.0467122	0.0963958	0.0517811	0.0608045	0.0438310	0.0881361	0.0553384	0.2038992	0.1603937	0.0919517	0.0381715	0.1365404	0.0991407	0.0317993	0.1260840	0.1028758	0.0818250	0.0484475	0.1075137	0.0833360	0.0394064	0.0295513	0.0723868	0.0396881	0.0475512	0.1806887	0.1621708	0.0450802	0.0311368	0.1626447	0.0985419	0.0510380	0.0346164	0.1108358	0.0954683	0.0338077	0.0748415	0.0438261	0.0523673	0.0355360	0.0311568	0.0132395	0.1586588	0.4672864	-79.481
135900	0.3508690	0.2771265	0.2330416	0.2209638	0.1269510	0.0605252	0.0688177	0.1963063	0.0822672	0.0440130	0.1830053	0.0298698	0.1500430	0.1385773	0.1261091	0.0933611	0.0810100	0.0332602	0.0742448	0.0546624	0.0326836	0.0470574	0.0361848	0.0154098	0.1250897	0.0842478	0.1397312	0.1091316	0.0857273	0.0582222	0.2277698	0.0736589	0.1859438	0.1614055	0.0618809	0.1768311	0.1273620	0.0581602	0.1078934	0.0517645	0.0379955	0.3388882	0.3112454	0.1667587	0.1158281	0.2638730	0.2372851	0.2112943	0.1375232	0.0623316	0.1802009	0.1475287	0.0789284	0.1302302	0.0365224	0.1115674	0.0852032	0.0457236	0.1030423	0.0513581	0.0626413	0.0303964	0.0786433	0.0367952	0.2208753	0.1759017	0.0939905	0.0554810	0.1459549	0.0964030	0.0323069	0.1322935	0.1120136	0.0827084	0.0385792	0.1198714	0.0896178	0.0327990	0.0169703	0.0826110	0.0428106	0.0552669	0.1935469	0.1736581	0.0552076	0.0268739	0.1563798	0.0935898	0.0678458	0.0264786	0.1290293	0.1064505	0.0310089	0.0804845	0.0480048	0.0577545	0.0406797	0.0328044	0.0143494	0.1383248	0.4776749	-84.133
136000	0.3452677	0.2833415	0.2341043	0.2196633	0.1622382	0.0801644	0.0618605	0.1939169	0.1090411	0.0434059	0.1804844	0.0344861	0.1538327	0.1388300	0.1256544	0.0941683	0.0677934	0.0266963	0.0801263	0.0643350	0.0226381	0.0434763	0.0281926	0.0118295	0.1015671	0.0709336	0.1283097	0.1055646	0.0879407	0.0583331	0.2408410	0.0519666	0.1902530	0.1410622	0.0511851	0.1739421	0.1472758	0.0850092	0.0711183	0.0446266	0.0295151	0.3363276	0.3204347	0.1485775	0.0643485	0.2834021	0.2383671	0.2122578	0.1249245	0.0622543	0.1933037	0.1477319	0.0728231	0.1262894	0.0603743	0.1120762	0.0953861	0.0233911	0.1052139	0.0702600	0.0511851	0.0255144	0.0606213	0.0336763	0.2139677	0.1769986	0.0985342	0.0598659	0.1503199	0.1159775	0.0338412	0.1377289	0.1197650	0.0842808	0.0418788	0.1210388	0.0882301	0.0451464	0.0283474	0.0839228	0.0422379	0.0561219	0.2083596	0.1597879	0.0498879	0.0199895	0.1602082	0.1096790	0.0600525	0.0326955	0.1364521	0.1057675	0.0262479	0.0855261	0.0687436	0.0616133	0.0464912	0.0357154	0.0238390	0.1427133	0.5170451	-85.540
136100	0.3526683	0.2952138	0.2362993	0.2217229	0.1286540	0.0828259	0.0615178	0.1957351	0.0805209	0.0364109	0.1848548	0.0561190	0.1593805	0.1384188	0.1245244	0.0973249	0.0677992	0.0531855	0.0763236	0.0636475	0.0280244	0.0468009	0.0371921	0.0142985	0.1233455	0.0699037	0.1286936	0.1142646	0.0951370	0.0497102	0.2399272	0.0744411	0.1905215	0.1685663	0.0542490	0.1783088	0.1313434	0.1031347	0.0588189	0.0332280	0.0509336	0.3394810	0.3179489	0.1179982	0.0665451	0.2709295	0.2406021	0.2168043	0.1192120	0.0772198	0.1869010	0.1603115	0.0496945	0.1306511	0.0714243	0.1114072	0.0933947	0.0216061	0.1044291	0.0556137	0.0627992	0.0205959	0.0888597	0.0364710	0.2111018	0.1782843	0.0995732	0.0394857	0.1517293	0.1068364	0.0353440	0.1390203	0.1054809	0.0836552	0.0464196	0.1196413	0.0890573	0.0755103	0.0243652	0.0847096	0.0318792	0.0821737	0.2163485	0.1579026	0.0597799	0.0302295	0.1719397	0.0883086	0.0611581	0.0333043	0.1348370	0.1193593	0.0389855	0.0920472	0.0641454	0.0692342	0.0580600	0.0379215	0.0202315	0.1277176	0.4083970	-120.305
136200	0.3516324	0.2942241	0.2354509	0.2209795	0.1277352	0.0921375	0.0855115	0.1978992	0.0686387	0.0415666	0.1817633	0.0417566	0.1644756	0.1458857	0.1231782	0.0982874	0.0695794	0.0432522	0.0693907	0.0543040	0.0215845	0.0418920	0.0283780	0.0146275	0.0950637	0.0426742	0.1386542	0.1129537	0.0734228	0.0374899	0.2703545	0.0582839	0.1947770	0.1518096	0.0731101	0.1748233	0.1079265	0.0795284	0.0554969	0.0274447	0.0556972	0.3440272	0.3131363	0.1106946	0.0552598	0.2596428	0.2397955	0.2145755	0.0940458	0.0634482	0.1859270	0.1505700	0.0427722	0.1251455	0.0520690	0.1110337	0.0681700	0.0216665	0.1048853	0.0530827	0.0506021	0.0196903	0.1089516	0.0481268	0.2073860	0.1881736	0.0879931	0.0415117	0.1501145	0.0865261	0.0399295	0.1411134	0.0924187	0.0554120	0.0506336	0.1041854	0.0887588	0.0396739	0.0207560	0.0844256	0.0377104	0.0998593	0.2224991	0.1830468	0.1041667	0.0328704	0.1627064	0.1062980	0.0620063	0.0453312	0.1325577	0.1245089	0.0424523	0.0895327	0.0475731	0.0722061	0.0628937	0.0360300	0.0222130	0.1312854	0.4392868	-93.761
136300	0.3675925	0.3062988	0.2474039	0.2321979	0.1234122	0.0747850	0.0521551	0.2085464	0.0774513	0.0497753	0.1909908	0.0799186	0.1676706	0.1535640	0.1353392	0.1007928	0.0609347	0.0312140	0.0723334	0.0573901	0.0311855	0.0445108	0.0326326	0.0157241	0.0757367	0.0376646	0.1518966	0.1213030	0.0825923	0.0409848	0.2772232	0.0352077	0.2181264	0.1464126	0.1145825	0.1977227	0.1089976	0.0646721	0.0736864	0.0502495	0.0870852	0.3637774	0.3355922	0.1382998	0.0548651	0.2881920	0.2519691	0.2292636	0.1143986	0.0549325	0.2057056	0.1587410	0.0425637	0.1287752	0.0725069	0.1143981	0.0703611	0.0277905	0.1086979	0.0560502	0.0681764	0.0362037	0.1351811	0.0538766	0.2269644	0.2090224	0.1442495	0.0654909	0.1623098	0.0836683	0.0470888	0.1482773	0.1127475	0.0429908	0.0404410	0.1126253	0.0932648	0.0623737	0.0245021	0.0887116	0.0366228	0.0939808	0.2798782	0.1858264	0.0939329	0.0502850	0.1688095	0.1021345	0.0764509	0.0535536	0.1423155	0.1298239	0.0347317	0.1006216	0.0319239	0.0708183	0.0627817	0.0420045	0.0269456	0.1322105	0.4487818	-114.770
136400	0.3191085	0.2693782	0.2175824	0.2042093	0.1278541	0.0487902	0.0562899	0.1815886	0.0801619	0.0651346	0.1670572	0.0657860	0.1448235	0.1333680	0.1118224	0.0805984	0.0515367	0.0420189	0.0629716	0.0547983	0.0346573	0.0386477	0.0276521	0.0180241	0.1126152	0.0406336	0.1152855	0.0929719	0.0576299	0.0366466	0.2410435	0.0290190	0.2005341	0.1242086	0.0620418	0.1620804	0.1010015	0.0405327	0.0598068	0.0442927	0.0939544	0.3152070	0.2951406	0.1537122	0.0717729	0.2469367	0.2218365	0.2016286	0.1066123	0.0562636	0.1674922	0.1321389	0.0541812	0.1166123	0.0347981	0.1006088	0.0469514	0.0222081	0.0955956	0.0696424	0.0770650	0.0482975	0.1157289	0.0524555	0.1922267	0.1692906	0.1127350	0.0547604	0.1408512	0.0945451	0.0265631	0.1280713	0.0996403	0.0392155	0.0266269	0.1032559	0.0820228	0.0604750	0.0300724	0.0768913	0.0315664	0.0908911	0.2067021	0.1797687	0.0983900	0.0271276	0.1464541	0.1140546	0.0677225	0.0480539	0.1281914	0.1102132	0.0410138	0.0875104	0.0295501	0.0659504	0.0542493	0.0313470	0.0200541	0.1476601	0.4353737	-93.106
136500	0.3207322	0.2814389	0.2155751	0.2023254	0.1170008	0.0328797	0.0719517	0.1799134	0.1074994	0.0482977	0.1695691	0.0629412	0.1460404	0.1302457	0.1069561	0.0805456	0.0614127	0.0447780	0.0672260	0.0545601	0.0279057	0.0447244	0.0285315	0.0174180	0.0809332	0.0573247	0.1475695	0.1076721	0.0710738	0.0397641	0.2263643	0.0357471	0.1932916	0.1619952	0.0774697	0.1678210	0.0947938	0.0325480	0.0418905	0.0226117	0.0977514	0.3072201	0.2974237	0.1526323	0.0800866	0.2423423	0.2177565	0.2029500	0.1593933	0.0551134	0.1595632	0.1305611	0.0495399	0.1124280	0.0382754	0.0996807	0.0558337	0.0249109	0.0918620	0.0419899	0.0573899	0.0393531	0.0778270	0.0518313	0.1906200	0.1634966	0.0963089	0.0771102	0.1468082	0.0810075	0.0362649	0.1266791	0.1014706	0.0544287	0.0327341	0.1036855	0.0812661	0.0548849	0.0403800	0.0761819	0.0384366	0.1313536	0.1858782	0.1367117	0.0776354	0.0402867	0.1428566	0.1054233	0.0742378	0.0450441	0.1318912	0.1051443	0.0290463	0.0761475	0.0339540	0.0664554	0.0505093	0.0325536	0.0143215	0.1532063	0.4929933	-96.160
136600	0.3972517	0.3500387	0.2619186	0.2458205	0.1702334	0.0438440	0.1225530	0.2185904	0.0911724	0.0448862	0.2060224	0.0487778	0.1761242	0.1582454	0.1183815	0.1034710	0.0790839	0.0407004	0.0709875	0.0656076	0.0291415	0.0524727	0.0460692	0.0250040	0.0901601	0.0605601	0.1846809	0.1357974	0.0958644	0.0478247	0.2712016	0.0787794	0.2397670	0.1800707	0.0559537	0.2165664	0.1158621	0.0359681	0.0681817	0.0306251	0.1383692	0.3728223	0.3600538	0.1738099	0.1314719	0.3072805	0.2645690	0.2405100	0.2091052	0.1362007	0.1942088	0.1577581	0.0622202	0.1350313	0.0298403	0.1211096	0.0773566	0.0403285	0.1130157	0.0469800	0.0909129	0.0357492	0.1171281	0.0867882	0.2300599	0.1986445	0.1217249	0.1035413	0.1783684	0.1082012	0.0358961	0.1578479	0.1212903	0.0924962	0.0455841	0.1186161	0.0987364	0.0663131	0.0434320	0.0874790	0.0487063	0.1577236	0.2166841	0.1919756	0.0711601	0.0371534	0.1818558	0.1339087	0.0945942	0.0407473	0.1592205	0.1283971	0.0364162	0.1031772	0.0714301	0.0826480	0.0575266	0.0379892	0.0247340	0.1211836	0.4423496	-109.579
136700	0.3266009	0.2735127	0.2153367	0.2021016	0.1329078	0.0385833	0.0929971	0.1797143	0.0579962	0.0426186	0.1693816	0.0717968	0.1487506	0.1305482	0.1009910	0.0856564	0.0690010	0.0405357	0.0583624	0.0532144	0.0211614	0.0428074	0.0352578	0.0188564	0.0805050	0.0703759	0.1584263	0.1169601	0.0631349	0.0356234	0.2375718	0.0382386	0.1971247	0.1480352	0.0286661	0.1639021	0.1273508	0.0290160	0.0698014	0.0300591	0.1087393	0.3065163	0.2955143	0.1550111	0.0701885	0.2435968	0.2175157	0.1973092	0.1638317	0.0611338	0.1620445	0.1317318	0.0435884	0.1119557	0.0284046	0.1011118	0.0609605	0.0395360	0.0914782	0.0385206	0.0819361	0.0542108	0.0934063	0.0697592	0.1925454	0.1611294	0.0942233	0.0667935	0.1448581	0.1175820	0.0227173	0.1272993	0.0933362	0.0657260	0.0336926	0.1040872	0.0791267	0.0548276	0.0297922	0.0576842	0.0407748	0.0982559	0.1781421	0.1561523	0.0714716	0.0388743	0.1495129	0.1135564	0.0529738	0.0246698	0.1268641	0.0987490	0.0303689	0.0793754	0.0435342	0.0530802	0.0395268	0.0262858	0.0169056	0.1391359	0.4694945	-87.927
136800	0.3346855	0.2901489	0.2276934	0.2101894	0.1266163	0.0279098	0.0705053	0.1898216	0.0571942	0.0454509	0.1761600	0.0629760	0.1424257	0.1322245	0.1027360	0.0928034	0.0672445	0.0402533	0.0711067	0.0562632	0.0220459	0.0460113	0.0369338	0.0148481	0.0929136	0.0775129	0.1679693	0.1055412	0.0554289	0.0367091	0.2443763	0.0531691	0.2112947	0.1500180	0.0351500	0.1829460	0.1268931	0.0268823	0.0642946	0.0262622	0.1299022	0.3172138	0.3070241	0.1818117	0.0656659	0.2491054	0.2270819	0.2025689	0.1484797	0.0677600	0.1769381	0.1453902	0.0457668	0.1254171	0.0229347	0.1070860	0.0827436	0.0434173	0.0951391	0.0249002	0.0855937	0.0523707	0.1016622	0.0564939	0.1896309	0.1675775	0.0969940	0.0624676	0.1506550	0.0893965	0.0434189	0.1393697	0.1090795	0.0735812	0.0217213	0.1053917	0.0743741	0.0527407	0.0337014	0.0618859	0.0298423	0.1074824	0.1888840	0.1648085	0.0940845	0.0523171	0.1490123	0.1208528	0.0455919	0.0224949	0.1337671	0.0971950	0.0375061	0.0843028	0.0510036	0.0498917	0.0427051	0.0277277	0.0163274	0.1536044	0.5275070	-92.678
136900	0.3157204	0.2766832	0.2313107	0.1952979	0.1075312	0.0344397	0.0645637	0.1790653	0.0557227	0.0487721	0.1632252	0.0812527	0.1343550	0.1216669	0.1025346	0.0906754	0.0587553	0.0283495	0.0734270	0.0533039	0.0187291	0.0401566	0.0337187	0.0125659	0.1088933	0.0833620	0.1564649	0.1098578	0.0618291	0.0289394	0.2244559	0.0473461	0.2072107	0.1069429	0.0581612	0.1760528	0.1062754	0.0163771	0.0629219	0.0219905	0.1012859	0.2953221	0.2880176	0.1485769	0.0547718	0.2349897	0.2142142	0.1954476	0.1271718	0.0737045	0.1604966	0.1391219	0.0458740	0.1211780	0.0373802	0.1039852	0.0697288	0.0462681	0.0918391	0.0224879	0.0620376	0.0415685	0.1253809	0.0673366	0.1702596	0.1558900	0.0819053	0.0436269	0.1421181	0.0997196	0.0492157	0.1286940	0.1059985	0.0739790	0.0240093	0.1115003	0.0697718	0.0476981	0.0304311	0.0581517	0.0434871	0.1255293	0.1756690	0.1495291	0.1050070	0.0481964	0.1465871	0.1243637	0.0336489	0.0227998	0.1217364	0.0994493	0.0422183	0.0802221	0.0416639	0.0486427	0.0415600	0.0272211	0.0136103	0.1499933	0.4486472	-101.650
137000	0.3772798	0.3368632	0.3048458	0.2377762	0.1448274	0.0502143	0.1029222	0.2217521	0.0658430	0.0546276	0.2011181	0.0917642	0.1702384	0.1480876	0.1237711	0.0971514	0.0451691	0.0250215	0.0798551	0.0683157	0.0240470	0.0504556	0.0374072	0.0201351	0.1442803	0.0621423	0.1704886	0.1361815	0.0929566	0.0355702	0.2772317	0.0433099	0.2522800	0.1563282	0.1055652	0.2015461	0.0885560	0.0220354	0.0619204	0.0299412	0.1478483	0.3577461	0.3493022	0.1026278	0.0677975	0.2861011	0.2608068	0.2324776	0.1584467	0.0806964	0.1994410	0.1690001	0.0751111	0.1475349	0.0507490	0.1280948	0.0908154	0.0461297	0.1169745	0.0273139	0.0797398	0.0585056	0.1746589	0.0639220	0.2081805	0.1857084	0.0702654	0.0570621	0.1755436	0.1209348	0.0493659	0.1562041	0.1178270	0.0942383	0.0337649	0.1317711	0.0906354	0.0557565	0.0387144	0.0751680	0.0566497	0.1619765	0.2097235	0.1626994	0.1018166	0.0318767	0.1824757	0.1187296	0.0539032	0.0238629	0.1506371	0.1050652	0.0259083	0.0874619	0.0450110	0.0675719	0.0491673	0.0304336	0.0145170	0.1355407	0.5688424	-83.674
137100	0.3885790	0.3428070	0.3088868	0.2417812	0.1520975	0.0363537	0.0808538	0.2208634	0.0848940	0.0541263	0.2045057	0.1310389	0.1749666	0.1391855	0.1176117	0.1012529	0.0629659	0.0280560	0.0857171	0.0645786	0.0375167	0.0543755	0.0349849	0.0164812	0.1155692	0.0738720	0.1752801	0.1451348	0.0832896	0.0321223	0.2907190	0.0581585	0.2565456	0.1581856	0.0828342	0.2114218	0.1099785	0.0443338	0.0716048	0.0289525	0.1221380	0.3637557	0.3576350	0.1415651	0.0734265	0.2909201	0.2712948	0.2312916	0.1183635	0.0893339	0.1923210	0.1667211	0.0902448	0.1525436	0.0464785	0.1356880	0.0856398	0.0400064	0.1171589	0.0340387	0.0933555	0.0647747	0.1228375	0.0744525	0.2272082	0.1888364	0.0823916	0.0556690	0.1785005	0.1259300	0.0366431	0.1551632	0.1204562	0.0950468	0.0474361	0.1294894	0.0858821	0.0581069	0.0286744	0.0750850	0.0467857	0.1376212	0.2038036	0.1561448	0.1112034	0.0339160	0.1818324	0.1040343	0.0655601	0.0319717	0.1492136	0.1104828	0.0306443	0.0903733	0.0461501	0.0768504	0.0642400	0.0281793	0.0159389	0.1184006	0.4048029	-82.996
137200	0.3590389	0.3167465	0.2866712	0.2546633	0.1638586	0.0346071	0.0848440	0.2040731	0.1019291	0.0533798	0.1889590	0.1001278	0.1641556	0.1233797	0.1029998	0.0912619	0.0607483	0.0272361	0.0798222	0.0595526	0.0273390	0.0448846	0.0336927	0.0147149	0.0966453	0.0519668	0.1636691	0.1470737	0.1083005	0.0443427	0.2772536	0.0818675	0.2367002	0.1097634	0.0632953	0.1983107	0.1348396	0.0451289	0.0876122	0.0215858	0.1089812	0.3382747	0.3289819	0.1361437	0.0894075	0.2753698	0.2506707	0.1982378	0.1166779	0.0749563	0.1743044	0.1540468	0.1003428	0.1393806	0.0442029	0.1237336	0.0848945	0.0383776	0.1052766	0.0484426	0.0800412	0.0550071	0.1029079	0.0649799	0.2082774	0.1744809	0.0983794	0.0525746	0.1624868	0.1216979	0.0489093	0.1371263	0.1137369	0.0641344	0.0288039	0.1136742	0.0795987	0.0519276	0.0261442	0.0725013	0.0324734	0.1107307	0.1835338	0.1491396	0.0795465	0.0446544	0.1604554	0.1326523	0.0539553	0.0297680	0.1272859	0.1004986	0.0274334	0.0852026	0.0514102	0.0772642	0.0638682	0.0369351	0.0186159	0.1315053	0.4646898	-110.787
